prompt_id,prompt,case,num_timesteps,cfg_interval,cfg_text_scale,seed,elapsed_s,speedup_vs_prompt_baseline,peak_mem_gb,clip_score,clip_delta_vs_prompt_baseline,lpips_to_prompt_baseline,pareto_prompt_clip_latency,image,semantic_coverage,relation_coverage,style_coverage,speedup_vs_baseline,factor_count,relation_count,style_count,fantasy_flag,flashu_component,enable_taylorseer,cfg_schedule
fairy_cosplayer,"A female cosplayer portraying an ethereal fairy or elf, wearing a flowing dress made of delicate fabrics in emerald green and silver, in a magical forest with glowing plants, mystical creatures, serene atmosphere, ultra detailed.",baseline_50_cfg04,50,0.4,4.0,42,143.9875,1.0,0.0,0.35943958163261414,0.0,0.0,0,/root/autodl-tmp/outputs/unipath_multi/fairy_cosplayer/baseline_50_cfg04.png,0.25170957793792087,0.2517732232809067,0.251677755266428,1.0,6,2,1,1,,,
fairy_cosplayer,"A female cosplayer portraying an ethereal fairy or elf, wearing a flowing dress made of delicate fabrics in emerald green and silver, in a magical forest with glowing plants, mystical creatures, serene atmosphere, ultra detailed.",fast_15_cfg02,15,0.2,4.0,42,105.6192,1.3633,0.0,0.36391323804855347,0.004474,0.4679945409297943,1,/root/autodl-tmp/outputs/unipath_multi/fairy_cosplayer/fast_15_cfg02.png,0.2525639732678731,0.2543802931904793,0.25165581330657005,1.3633,6,2,1,1,,,
fairy_cosplayer,"A female cosplayer portraying an ethereal fairy or elf, wearing a flowing dress made of delicate fabrics in emerald green and silver, in a magical forest with glowing plants, mystical creatures, serene atmosphere, ultra detailed.",fast_20_cfg04,20,0.4,4.0,42,127.0405,1.1334,0.0,0.36519497632980347,0.005755,0.3640041947364807,1,/root/autodl-tmp/outputs/unipath_multi/fairy_cosplayer/fast_20_cfg04.png,0.25639767448107403,0.2596680447459221,0.25476248934865,1.1334,6,2,1,1,,,
fairy_cosplayer,"A female cosplayer portraying an ethereal fairy or elf, wearing a flowing dress made of delicate fabrics in emerald green and silver, in a magical forest with glowing plants, mystical creatures, serene atmosphere, ultra detailed.",flashu_cache15,15,0.2,4.0,42,97.8531,1.4715,37.8975,0.360507,0.001067,0.716335,1,/root/autodl-tmp/outputs/idea4_20260425_115208_flashu_bagel/results/fairy_cosplayer/flashu_cache15.png,0.24907862146695456,0.25094693154096603,0.2481444664299488,1.4715,6,2,1,1,diffusion_head_cache_proxy,1,None
cyberpunk_alley,"A cinematic cyberpunk alley at night, neon reflections on wet pavement, layered signage, dense atmosphere, a lone figure in a reflective raincoat, ultra detailed, dramatic composition.",baseline_50_cfg04,50,0.4,4.0,43,130.6017,1.0,0.0,0.38386842608451843,0.0,0.0,1,/root/autodl-tmp/outputs/unipath_multi/cyberpunk_alley/baseline_50_cfg04.png,0.2693624815770558,0.28616506457328794,0.21967613697052002,1.0,7,5,1,0,,,
cyberpunk_alley,"A cinematic cyberpunk alley at night, neon reflections on wet pavement, layered signage, dense atmosphere, a lone figure in a reflective raincoat, ultra detailed, dramatic composition.",fast_15_cfg02,15,0.2,4.0,43,106.4382,1.227,0.0,0.3765546381473541,-0.007314,0.39396175742149353,1,/root/autodl-tmp/outputs/unipath_multi/cyberpunk_alley/fast_15_cfg02.png,0.2752215074641364,0.29335830807685853,0.22042223811149597,1.227,7,5,1,0,,,
cyberpunk_alley,"A cinematic cyberpunk alley at night, neon reflections on wet pavement, layered signage, dense atmosphere, a lone figure in a reflective raincoat, ultra detailed, dramatic composition.",fast_20_cfg04,20,0.4,4.0,43,108.6459,1.2021,0.0,0.3766181170940399,-0.00725,0.3718205690383911,1,/root/autodl-tmp/outputs/unipath_multi/cyberpunk_alley/fast_20_cfg04.png,0.2745206632784435,0.29213743209838866,0.22078950703144073,1.2021,7,5,1,0,,,
cyberpunk_alley,"A cinematic cyberpunk alley at night, neon reflections on wet pavement, layered signage, dense atmosphere, a lone figure in a reflective raincoat, ultra detailed, dramatic composition.",flashu_cache15,15,0.2,4.0,42,97.5043,1.3394,37.8927,0.234728,-0.149141,0.876201,1,/root/autodl-tmp/outputs/idea4_20260425_115208_flashu_bagel/results/cyberpunk_alley/flashu_cache15.png,0.1974307213510786,0.19678958058357238,0.20282985270023346,1.3394,7,5,1,0,diffusion_head_cache_proxy,1,None
snow_cabin,"A cozy wooden cabin in a snowy pine forest at blue hour, warm interior lights glowing through the windows, soft snowfall, realistic lighting, detailed landscape photography.",baseline_50_cfg04,50,0.4,4.0,44,131.4042,1.0,0.0,0.3714621961116791,0.0,0.0,1,/root/autodl-tmp/outputs/unipath_multi/snow_cabin/baseline_50_cfg04.png,0.2800454169511795,0.3006698861718178,0.2606957405805588,1.0,5,2,1,0,,,
snow_cabin,"A cozy wooden cabin in a snowy pine forest at blue hour, warm interior lights glowing through the windows, soft snowfall, realistic lighting, detailed landscape photography.",fast_15_cfg02,15,0.2,4.0,44,107.6627,1.2205,0.0,0.35520505905151367,-0.016257,0.42883649468421936,1,/root/autodl-tmp/outputs/unipath_multi/snow_cabin/fast_15_cfg02.png,0.27463618814945223,0.29502467066049576,0.2543345093727112,1.2205,5,2,1,0,,,
snow_cabin,"A cozy wooden cabin in a snowy pine forest at blue hour, warm interior lights glowing through the windows, soft snowfall, realistic lighting, detailed landscape photography.",fast_20_cfg04,20,0.4,4.0,44,110.044,1.1941,0.0,0.36184778809547424,-0.009614,0.3883305490016937,1,/root/autodl-tmp/outputs/unipath_multi/snow_cabin/fast_20_cfg04.png,0.2762314438819885,0.29658764600753784,0.2564103305339813,1.1941,5,2,1,0,,,
snow_cabin,"A cozy wooden cabin in a snowy pine forest at blue hour, warm interior lights glowing through the windows, soft snowfall, realistic lighting, detailed landscape photography.",flashu_cache15,15,0.2,4.0,42,97.7365,1.3445,37.8926,0.076955,-0.294507,0.855315,0,/root/autodl-tmp/outputs/idea4_20260425_115208_flashu_bagel/results/snow_cabin/flashu_cache15.png,0.1637725442647934,0.14577284455299377,0.1776765137910843,1.3445,5,2,1,0,diffusion_head_cache_proxy,1,None
product_camera,"A premium studio product photo of a vintage silver camera on dark stone, soft rim light, sharp reflections, luxury advertising style, highly detailed.",baseline_50_cfg04,50,0.4,4.0,45,131.7911,1.0,0.0,0.31339073181152344,0.0,0.0,0,/root/autodl-tmp/outputs/unipath_multi/product_camera/baseline_50_cfg04.png,0.23533375859260558,0.24693556129932404,,1.0,5,3,0,0,,,
product_camera,"A premium studio product photo of a vintage silver camera on dark stone, soft rim light, sharp reflections, luxury advertising style, highly detailed.",fast_15_cfg02,15,0.2,4.0,45,106.1515,1.2415,0.0,0.31363093852996826,0.00024,0.23259277641773224,1,/root/autodl-tmp/outputs/unipath_multi/product_camera/fast_15_cfg02.png,0.23865137696266175,0.2498990794022878,,1.2415,5,3,0,0,,,
product_camera,"A premium studio product photo of a vintage silver camera on dark stone, soft rim light, sharp reflections, luxury advertising style, highly detailed.",fast_20_cfg04,20,0.4,4.0,45,108.7277,1.2121,0.0,0.3116590976715088,-0.001732,0.17681404948234558,0,/root/autodl-tmp/outputs/unipath_multi/product_camera/fast_20_cfg04.png,0.23482280671596528,0.24617239832878113,,1.2121,5,3,0,0,,,
