case,prompt_id,question,answer,accepted,correct,elapsed_s,speedup_vs_baseline,policy,policy_case
und_micro,fairy_cosplayer,"Answer with one option only: Which is shown, fairy_elf or corgi?",fairy_elf,fairy|elf|fairy_elf,1,0.2915,2.2875,uqp_oracle,und_micro
und_micro,fairy_cosplayer,"Answer with one word only: What outfit color is highlighted, green or red?",Green,green|emerald,1,0.1918,2.6163,uqp_oracle,und_micro
und_micro,cyberpunk_alley,Answer with one word only: Is it day or night?,Night,night,1,0.1893,2.4585,uqp_oracle,und_micro
und_micro,cyberpunk_alley,Answer with one word only: Is the pavement wet or dry?,Wet,wet,1,0.2215,2.2537,uqp_oracle,und_micro
und_micro,snow_cabin,Answer with one word only: Is the building a cabin or a castle?,Cabin,cabin,1,0.2223,2.2362,uqp_oracle,und_micro
und_micro,snow_cabin,Answer with one word only: Is the season winter or summer?,Winter,winter|snow,1,0.1904,2.6124,uqp_oracle,und_micro
und_micro,product_camera,Answer with one word only: Is the main object a camera or a bicycle?,Camera,camera,1,0.1916,2.4207,uqp_oracle,und_micro
und_micro,product_camera,Answer with one word only: Is this studio or outdoors?,Studio,studio,1,0.1896,2.4488,uqp_oracle,und_micro
und_micro,corgi_ocean,Answer with one word only: Is the animal a corgi or a cat?,Corgi,corgi|dog,1,0.2543,2.079,uqp_oracle,und_micro
und_micro,corgi_ocean,Answer with one word only: Is it surfing or sleeping?,Surfing,surfing|surf,1,0.2524,2.0931,uqp_oracle,und_micro
